pilotRank,queueId,priority,score,workstream,productSignal,authoritySignal,normalizedChars,canonicalGroupId,groupSize,sourcePath,combinedPath
14,ingest-1781569954420-189v,P1_CORE_RA_EVIDENCE,316,submission_authority,CYAN,MFDS/domestic,120503,1a702459b087,4,"raw/sources/DHF (인허가)/07_(CYAN) GT1717C, GT1717CP/91_인증 - 국내/02. G series + CYAN/3. 보완(제출)★/★보완제출문서/03 기술문서 심사에 관한 자료/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/04 성능에 관한 자료 (Rev)/1. 소프트웨어 적합성/1.4 [G series] Software Validation Report(A-TCF-10-131).pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/afe57a2c35e1/1.4 [G series] Software Validation Report(A-TCF-10-131)__afe57a2c35e1_combined.txt
15,ingest-1781569954420-186p,P1_CORE_RA_EVIDENCE,316,submission_authority,CYAN,MFDS/domestic,22521,909405337486,3,"raw/sources/DHF (인허가)/07_(CYAN) GT1717C, GT1717CP/91_인증 - 국내/02. G series + CYAN/2. 보완(준비본)/보완제출_예정)/03 기술문서 심사에 관한 자료/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/04 성능에 관한 자료 (Rev)/2. 사이버보안/PDF/성능시험성적서/1. [G series] 성능시험성적서 (A-PTR-BLU).pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/a9d67070e472/1. [G series] 성능시험성적서 (A-PTR-BLU)__a9d67070e472_combined.txt
16,ingest-1781569954420-18yl,P1_CORE_RA_EVIDENCE,316,submission_authority,CYAN,MFDS/domestic,13804,03fc5f59b599,3,"raw/sources/DHF (인허가)/07_(CYAN) GT1717C, GT1717CP/91_인증 - 국내/02. G series + CYAN/2. 보완(준비본)/보완제출_예정)/03 기술문서 심사에 관한 자료/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/04 성능에 관한 자료 (Rev)/2. 사이버보안/PDF/성능시험성적서/2. [GT series] 성능시험성적서 (A-PTR-CYN).pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/d8abb7ea1afb/2. [GT series] 성능시험성적서 (A-PTR-CYN)__d8abb7ea1afb_combined.txt
17,ingest-1781569954419-177g,P1_CORE_RA_EVIDENCE,316,submission_authority,CYAN,MFDS/domestic,81342,6681b0113c52,2,"raw/sources/DHF (인허가)/07_(CYAN) GT1717C, GT1717CP/91_인증 - 국내/02. G series + CYAN/2. 보완(준비본)/보완제출_예정)/03 기술문서 심사에 관한 자료/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/04 성능에 관한 자료 (Rev)/1. 소프트웨어 적합성/2.4 A-SVR-CYN_Software Validation Report(Rev.2).docx",raw/sources/_preprocessed/DHF (인허가)/_combined/70a024f72828/2.4 A-SVR-CYN_Software Validation Report(Rev.2)__70a024f72828_combined.txt
18,ingest-1781569954419-17kq,P1_CORE_RA_EVIDENCE,316,submission_authority,CYAN,MFDS/domestic,90873,6043166609a5,1,"raw/sources/DHF (인허가)/07_(CYAN) GT1717C, GT1717CP/91_인증 - 국내/02. G series + CYAN/2. 보완(준비본)/보완제출_예정)/03 기술문서 심사에 관한 자료/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/04 성능에 관한 자료 (Rev)/1. 소프트웨어 적합성/1.4 [G series] Software Validation Report(A-TCF-10-131).docx",raw/sources/_preprocessed/DHF (인허가)/_combined/856c016a4800/1.4 [G series] Software Validation Report(A-TCF-10-131)__856c016a4800_combined.txt
19,ingest-1781569954420-18g9,P1_CORE_RA_EVIDENCE,316,submission_authority,CYAN,MFDS/domestic,81342,f0f10dd46625,1,"raw/sources/DHF (인허가)/07_(CYAN) GT1717C, GT1717CP/91_인증 - 국내/02. G series + CYAN/2. 보완(예정)/03 기술문서 심사에 관한 자료/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/04 성능에 관한 자료 (Rev)/1. 소프트웨어 적합성/2.4 A-SVR-CYN_Software Validation Report(Rev.2).docx",raw/sources/_preprocessed/DHF (인허가)/_combined/baac7ae8e433/2.4 A-SVR-CYN_Software Validation Report(Rev.2)__baac7ae8e433_combined.txt
20,ingest-1781569954417-160h,P1_CORE_RA_EVIDENCE,316,submission_authority,HAD/A/F 1417-1717,MFDS/domestic,8036,231a4ed4fc6a,1,"raw/sources/DHF (인허가)/01_HAD1717MC, MG/03_설계개발 출력/02_CCL 및 승인원/승인원/기구/환경자료/동인산업/H&Abyz MSDS& 시험성적서/물질안전보건자료(Al 합금압출재)_19.01.10.pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/2a6a5286a393/물질안전보건자료(Al 합금압출재)_19.01.10__2a6a5286a393_combined.txt
21,ingest-1781569954419-17r0,P1_CORE_RA_EVIDENCE,316,submission_authority,CYAN,MFDS/domestic,5383,f486b832cf99,1,"raw/sources/DHF (인허가)/07_(CYAN) GT1717C, GT1717CP/91_인증 - 국내/02. G series + CYAN/2. 보완(예정)/보완제출_예정)/03 기술문서 심사에 관한 자료/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/04 성능에 관한 자료 (Rev)/2. 사이버보안/9. A-RACT-BLU_사이버보안 시험성적서 적용가능 근거서_HW 검토사항 적용.docx",raw/sources/_preprocessed/DHF (인허가)/_combined/9048dcec61b0/9. A-RACT-BLU_사이버보안 시험성적서 적용가능 근거서_HW 검토사항 적용__9048dcec61b0_combined.txt
22,ingest-1781569954419-183k,P1_CORE_RA_EVIDENCE,316,submission_authority,CYAN,MFDS/domestic,4820,8d8fc223312b,1,"raw/sources/DHF (인허가)/07_(CYAN) GT1717C, GT1717CP/91_인증 - 국내/02. G series + CYAN/2. 보완(예정)/보완제출_예정)/03 기술문서 심사에 관한 자료/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/04 성능에 관한 자료 (Rev)/2. 사이버보안/9. A-XXX-001_사이버보안 시험성적서 적용가능 근거서.docx",raw/sources/_preprocessed/DHF (인허가)/_combined/a538e0031d31/9. A-XXX-001_사이버보안 시험성적서 적용가능 근거서__a538e0031d31_combined.txt
23,ingest-1781569954371-1et,P1_CORE_RA_EVIDENCE,314,submission_authority,Unclassified,MFDS/domestic,63968,19206d4d0603,9,raw/sources/RA/04_제품별 인허가 진행 문서/05_Blue (G1417MCW 외 7종)/▶ 국내 제조인증/4. 250429 3차 보완/최종 수정본/03 기술문서 심사에 관한 자료 (Rev)/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/04 성능에 관한 자료 (Rev)/1. Cybersecurity/A-CRMR-BLU_Cybersecurity Risk Management Report .docx,raw/sources/_preprocessed/RA/_combined/2d62c41162b8/A-CRMR-BLU_Cybersecurity Risk Management Report__2d62c41162b8_combined.txt
24,ingest-1781569954370-u2,P1_CORE_RA_EVIDENCE,314,submission_authority,Unclassified,MFDS/domestic,79627,482bd70dd361,7,raw/sources/RA/04_제품별 인허가 진행 문서/05_Blue (G1417MCW 외 7종)/▶ 국내 제조인증/4. 250429 3차 보완/최종 수정본/03 기술문서 심사에 관한 자료 (Rev)/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/04 성능에 관한 자료 (Rev)/1. Cybersecurity/A-CRMR-BLU_Cybersecurity Risk Management Report .pdf,raw/sources/_preprocessed/RA/_combined/19e81f6fc180/A-CRMR-BLU_Cybersecurity Risk Management Report__19e81f6fc180_combined.txt
25,ingest-1781569954377-7dq,P1_CORE_RA_EVIDENCE,314,submission_authority,Unclassified,MFDS/domestic,63842,57aa530b3175,2,raw/sources/RA/04_제품별 인허가 진행 문서/05_Blue (G1417MCW 외 7종)/▶ 국내 제조인증/2. 250402 보완/1. 보완_250410/03 기술문서 심사에 관한 자료/03 제품의 성능 및 안전을 확인하기 위한 자료/04 성능에 관한 자료/1. Cybersecurity/A-CRMR-BLU_Cybersecurity Risk Management Report.docx,raw/sources/_preprocessed/RA/_combined/ef422cdeca38/A-CRMR-BLU_Cybersecurity Risk Management Report__ef422cdeca38_combined.txt
26,ingest-1781569954418-16qm,P1_CORE_RA_EVIDENCE,312,submission_authority,CYAN,MFDS/domestic,59813,53a6f68679bb,2,"raw/sources/DHF (인허가)/07_(CYAN) GT1717C, GT1717CP/91_인증 - 국내/02. G series + CYAN/3. 보완(제출)★/★보완제출문서/03 기술문서 심사에 관한 자료/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/04 성능에 관한 자료 (Rev)/2. 사이버보안/2. A-CRMR-BLU_Cybersecurity Risk Management Report.pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/55c543291565/2. A-CRMR-BLU_Cybersecurity Risk Management Report__55c543291565_combined.txt
27,ingest-1781569954419-177t,P1_CORE_RA_EVIDENCE,308,submission_authority,HAD/A/F 1417-1717,general,11598,5655388cdfde,1,"raw/sources/DHF (인허가)/03_A1417MCW, A1717MCW, F1417MCW/03_설계개발 출력/02_CCL 및 승인원/GF(F4335-AW)승인원/20221202_155109_와이엔씨_(corrubox@hanmail.net)_RE__H&ABYZ_부품_승인원_요청의_件.[와이엔씨]/사양승인원_삼성전자 의료기기_MI69-01898A_Pad-detector low_20221011.xlsx",raw/sources/_preprocessed/DHF (인허가)/_combined/7121e50dcba9/사양승인원_삼성전자 의료기기_MI69-01898A_Pad-detector low_20221011__7121e50dcba9_combined.txt
28,ingest-1781569954417-15y3,P1_CORE_RA_EVIDENCE,308,submission_authority,HAD/A/F 1417-1717,general,10247,da0a83a475f6,1,"raw/sources/DHF (인허가)/03_A1417MCW, A1717MCW, F1417MCW/03_설계개발 출력/02_CCL 및 승인원/GF(F4335-AW)승인원/20221202_155109_와이엔씨_(corrubox@hanmail.net)_RE__H&ABYZ_부품_승인원_요청의_件.[와이엔씨]/사양승인원_삼성전자 의료기기_MI69-01897A_Pad-detector_20221011.xlsx",raw/sources/_preprocessed/DHF (인허가)/_combined/261c55aa3a89/사양승인원_삼성전자 의료기기_MI69-01897A_Pad-detector_20221011__261c55aa3a89_combined.txt
29,ingest-1781569954420-18fj,P1_CORE_RA_EVIDENCE,308,submission_authority,HAD/A/F 1417-1717,general,9917,093e8c58e2e3,1,"raw/sources/DHF (인허가)/03_A1417MCW, A1717MCW, F1417MCW/03_설계개발 출력/02_CCL 및 승인원/GF(F4335-AW)승인원/20221202_155109_와이엔씨_(corrubox@hanmail.net)_RE__H&ABYZ_부품_승인원_요청의_件.[와이엔씨]/사양승인원_삼성전자 의료기기_MI69-01896A_Pad-detector upp_20221011.xlsx",raw/sources/_preprocessed/DHF (인허가)/_combined/b94cb5f49b71/사양승인원_삼성전자 의료기기_MI69-01896A_Pad-detector upp_20221011__b94cb5f49b71_combined.txt
30,ingest-1781569954420-18te,P1_CORE_RA_EVIDENCE,306,submission_authority,CYAN,MFDS/domestic,102632,a9a81670d275,28,"raw/sources/DHF (인허가)/07_(CYAN) GT1717C, GT1717CP/91_인증 - 국내/02. G series + CYAN/3. 보완(제출)★/★보완제출문서/03 기술문서 심사에 관한 자료/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/02 전자파안전에 관한 자료/1. [G series] IEC 60601-1-2 Test report (Kolas).pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/ce7a49994126/1. [G series] IEC 60601-1-2 Test report (Kolas)__ce7a49994126_combined.txt
31,ingest-1781569954420-18df,P1_CORE_RA_EVIDENCE,306,submission_authority,CYAN,MFDS/domestic,81705,ce84a5bb467f,10,"raw/sources/DHF (인허가)/07_(CYAN) GT1717C, GT1717CP/91_인증 - 국내/02. G series + CYAN/3. 보완(제출)★/★보완제출문서/03 기술문서 심사에 관한 자료/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/02 전자파안전에 관한 자료/2. [GT series] IEC60601-1-2 Test reportIEC EN 60601-1-2_Final.pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/b58b409b4285/2. [GT series] IEC60601-1-2 Test reportIEC EN 60601-1-2_Final__b58b409b4285_combined.txt
32,ingest-1781569954421-19a5,P1_CORE_RA_EVIDENCE,306,submission_authority,CYAN,MFDS/domestic,76834,39307b94ea7a,10,"raw/sources/DHF (인허가)/07_(CYAN) GT1717C, GT1717CP/91_인증 - 국내/02. G series + CYAN/3. 보완(제출)★/★보완제출문서/03 기술문서 심사에 관한 자료/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/01 전기·기계적 안전에 관한 자료/2.4 [GT1717C] IEC60601-1 Test report 2 (ed.3.2 CB).pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/eb25e8d3fb2b/2.4 [GT1717C] IEC60601-1 Test report 2 (ed.3.2 CB)__eb25e8d3fb2b_combined.txt
33,ingest-1781569954418-16h7,P1_CORE_RA_EVIDENCE,306,submission_authority,CYAN,MFDS/domestic,361154,6fc06c9c3ab3,7,"raw/sources/DHF (인허가)/07_(CYAN) GT1717C, GT1717CP/91_인증 - 국내/02. G series + CYAN/3. 보완(제출)★/★보완제출문서/03 기술문서 심사에 관한 자료/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/01 전기·기계적 안전에 관한 자료/1. [G series] IEC 60601-1 Test report & Certificate.pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/4650181b6fa3/1. [G series] IEC 60601-1 Test report & Certificate__4650181b6fa3_combined.txt
34,ingest-1781569954418-16sr,P1_CORE_RA_EVIDENCE,306,submission_authority,CYAN,MFDS/domestic,383293,df7282fc2873,6,"raw/sources/DHF (인허가)/07_(CYAN) GT1717C, GT1717CP/91_인증 - 국내/02. G series + CYAN/3. 보완(제출)★/★보완제출문서/03 기술문서 심사에 관한 자료/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/01 전기·기계적 안전에 관한 자료/2.2 [GT1717C] IEC60601-1 Test report 1 (ed.3.2 CB).pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/58da29469f11/2.2 [GT1717C] IEC60601-1 Test report 1 (ed.3.2 CB)__58da29469f11_combined.txt
35,ingest-1781569954386-fzf,P1_CORE_RA_EVIDENCE,298,submission_authority,HAD/A/F 1417-1717,general,2754,73efbe5c7979,4,"raw/sources/RA/04_제품별 인허가 진행 문서/02_ADD (HAD1417MCW)/▶ CE MDD/■ 10. TCF_ADD(HAD1417MCW) 230215 (Rev.5) - Label Update/Attachment 04. Risk Management Report/04-03. Basic Safety, Essential Performance Report (Doc.No.A-TCF-5-048).docx","raw/sources/_preprocessed/RA/_combined/3e4287432beb/04-03. Basic Safety, Essential Performance Report (Doc.No.A-TCF-5-048)__3e4287432beb_combined.txt"
36,ingest-1781569954421-19fk,P1_CORE_RA_EVIDENCE,296,submission_authority,HAD/A/F 1417-1717,FDA,9474,679df15dab8e,32,"raw/sources/DHF (인허가)/03_A1417MCW, A1717MCW, F1417MCW/05_설계개발 검증 및 유효성 확인/12_Biocompatibility/Appendix 2. MSDS 1 - OMAY Polycarbonate film or sheet.pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/f42801030c75/Appendix 2. MSDS 1 - OMAY Polycarbonate film or sheet__f42801030c75_combined.txt
37,ingest-1781569954419-178q,P1_CORE_RA_EVIDENCE,296,submission_authority,HAD/A/F 1417-1717,general,21930,b441aa0a80a8,31,"raw/sources/DHF (인허가)/03_A1417MCW, A1717MCW, F1417MCW/05_설계개발 검증 및 유효성 확인/12_Biocompatibility/Appendix 4. MSDS 3 - PET INK 9000 SERIES.pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/72454c52c887/Appendix 4. MSDS 3 - PET INK 9000 SERIES__72454c52c887_combined.txt
38,ingest-1781569954419-17ps,P1_CORE_RA_EVIDENCE,296,submission_authority,HAD/A/F 1417-1717,FDA,43702,4a869541c2c8,27,"raw/sources/DHF (인허가)/03_A1417MCW, A1717MCW, F1417MCW/05_설계개발 검증 및 유효성 확인/07_Software Validation/(Firmware) Software Development Plan_Rev.0_(A-TCF-5-143).pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/8dde1ea6cee3/(Firmware) Software Development Plan_Rev.0_(A-TCF-5-143)__8dde1ea6cee3_combined.txt
39,ingest-1781569954418-16nh,P1_CORE_RA_EVIDENCE,296,submission_authority,HAD/A/F 1417-1717,FDA,5848,c5fbc43cddf3,22,"raw/sources/DHF (인허가)/03_A1417MCW, A1717MCW, F1417MCW/05_설계개발 검증 및 유효성 확인/12_Biocompatibility/Appendix 3. MSDS 2 - Polyester Pressure Sensitive Adhesive Tape.pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/50bb754b82bd/Appendix 3. MSDS 2 - Polyester Pressure Sensitive Adhesive Tape__50bb754b82bd_combined.txt
40,ingest-1781569954417-15ww,P1_CORE_RA_EVIDENCE,296,submission_authority,HAD/A/F 1417-1717,FDA,35045,61c9ff35e8cf,21,"raw/sources/DHF (인허가)/03_A1417MCW, A1717MCW, F1417MCW/05_설계개발 검증 및 유효성 확인/07_Software Validation/(Firmware) Software Development Plan_Rev.0_(A-TCF-5-143).docx",raw/sources/_preprocessed/DHF (인허가)/_combined/244de04b8f89/(Firmware) Software Development Plan_Rev.0_(A-TCF-5-143)__244de04b8f89_combined.txt
41,ingest-1781569954419-17kr,P1_CORE_RA_EVIDENCE,296,submission_authority,HAD/A/F 1417-1717,general,39845,70b53fb9c213,14,"raw/sources/DHF (인허가)/03_A1417MCW, A1717MCW, F1417MCW/05_설계개발 검증 및 유효성 확인/15_규격 Test/5. [A1417MCW, F1417MCW] (Wireless) EMC Test report.pdf","raw/sources/_preprocessed/DHF (인허가)/_combined/85709f264ebf/5. [A1417MCW, F1417MCW] (Wireless) EMC Test report__85709f264ebf_combined.txt"
42,ingest-1781569954417-159f,P1_CORE_RA_EVIDENCE,296,submission_authority,HAD/A/F 1417-1717,FDA,5727,6970cd598823,14,"raw/sources/DHF (인허가)/03_A1417MCW, A1717MCW, F1417MCW/05_설계개발 검증 및 유효성 확인/08_Cybersecurity/Attachment 1 - Requirements for Cybersecurity of Medical Devices_20230314.docx",raw/sources/_preprocessed/DHF (인허가)/_combined/003108912303/Attachment 1 - Requirements for Cybersecurity of Medical Devices_20230314__003108912303_combined.txt
43,ingest-1781569954420-18ml,P1_CORE_RA_EVIDENCE,296,submission_authority,HAD/A/F 1417-1717,FDA,5729,8724a2b54d3e,13,"raw/sources/DHF (인허가)/03_A1417MCW, A1717MCW, F1417MCW/05_설계개발 검증 및 유효성 확인/08_Cybersecurity/Attachment 1 - Requirements for Cybersecurity of Medical Devices_20230314.pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/c4741f5251a0/Attachment 1 - Requirements for Cybersecurity of Medical Devices_20230314__c4741f5251a0_combined.txt
44,ingest-1781569954420-18qt,P1_CORE_RA_EVIDENCE,296,submission_authority,HAD/A/F 1417-1717,general,8600,bc21c9bbe56d,11,"raw/sources/DHF (인허가)/02_ADD (HAD1417MCW, HAD1717MCW)/05_설계개발 검증 및 유효성 확인/12_Biocompatibility/13-02 MSDS Data (Doc.No.SHAEC2001131107).PDF",raw/sources/_preprocessed/DHF (인허가)/_combined/ca9152dd5894/13-02 MSDS Data (Doc.No.SHAEC2001131107)__ca9152dd5894_combined.txt
45,ingest-1781569954421-19kz,P1_CORE_RA_EVIDENCE,296,submission_authority,HAD/A/F 1417-1717,general,39024,5aca6e573af7,9,"raw/sources/DHF (인허가)/03_A1417MCW, A1717MCW, F1417MCW/05_설계개발 검증 및 유효성 확인/15_규격 Test/6. [A1717MCW] (Wireless) EMC Test report.pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/fc6bf6b4260a/6. [A1717MCW] (Wireless) EMC Test report__fc6bf6b4260a_combined.txt
46,ingest-1781569954419-17fm,P1_CORE_RA_EVIDENCE,296,submission_authority,HAD/A/F 1417-1717,general,4335,2781aa0e0fef,7,"raw/sources/DHF (인허가)/03_A1417MCW, A1717MCW, F1417MCW/05_설계개발 검증 및 유효성 확인/15_규격 Test/6.1. REP031071 [A1717MCW] (Wireless) EMC Test report_A1.pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/7cc50dad5001/6.1. REP031071 [A1717MCW] (Wireless) EMC Test report_A1__7cc50dad5001_combined.txt
47,ingest-1781569954417-15r2,P1_CORE_RA_EVIDENCE,296,submission_authority,HnX,general,77935,03edb63a0746,4,raw/sources/DHF (인허가)/06_(Retrofit) HnX-R1/05_설계개발 검증 및 유효성 확인/08_Cybersecurity/5. A-SBOM-HNXR1_Cybersecurity BOM and evaluation report.docx,raw/sources/_preprocessed/DHF (인허가)/_combined/1b70ff83f013/5. A-SBOM-HNXR1_Cybersecurity BOM and evaluation report__1b70ff83f013_combined.txt
